"D075","Dr. Sumon Karmakar","Ophthalmology","01612939153"
"D076","Dr. Nilufa Uddin","Hematology","01320906969"
"D077","Dr. Bashir Ahmed","Endocrinology","01825906382"
"D078","Dr. Rahima Bhuiyan","Endocrinology","01999731856"
"D079","Dr. Habib Hasan","Dermatology","01900384021"
"D080","Dr. Shapla Majumder","Gastroenterology","01456321958"
"D081","Dr. Rafiq Sikder","General Surgery","01575903832"
"D082","Dr. Julekha Uddin","Pulmonology","01710491733"
"D083","Dr. Jamal Parvez","Medicine","01215537852"
"D084","Dr. Feroza Bhuiyan","Endocrinology","01280951900"
"D085","Dr. Sharif Karmakar","ENT","01099104905"
"D086","Dr. Asma Majumder","Cardiology","01468590632"
"D087","Dr. Nazrul Ahmed","Endocrinology","01600725300"
"D088","Dr. Runa Uddin","Neurology","01594718660"
"D089","Dr. Alamgir Hasan","General Surgery","01488385881"
"D090","Dr. Bokul Bhuiyan","ENT","01620208544"
"D091","Dr. Romel Sikder","Gynecology","01029004472"
"D092","Dr. Lipi Majumder","Oncology","01387172085"
"D093","Dr. Shahin Parvez","Orthopedics","01887495692"
"D094","Dr. Prova Uddin","Medicine","01530018757"
"D095","Dr. Utpal Karmakar","Cardiology","01320012382"
"D096","Dr. Shanta Bhuiyan","Endocrinology","01373938710"
"D097","Dr. Apurbo Ahmed","Ophthalmology","01575928853"
"D098","Dr. Mukta Majumder","Hematology","01251896553"
"D099","Dr. Noyon Hasan","Urology","01057612806"
"D100","Dr. Dalia Uddin","Nephrology","01376274916"
