"BD050","Fahim Sikder","A+","28","01148341340","Barishal","true"
"BD051","Sadia Majumder","A-","57","01629836021","Rangpur","true"
"BD052","Nabil Parvez","B+","44","01862927395","Cumilla","false"
"BD053","Toma Uddin","A-","59","01544815501","Chittagong","false"
"BD054","Ashraf Karmakar","AB+","46","01117338960","Rajshahi","true"
"BD055","Mim Bhuiyan","B+","18","01928605434","Barishal","false"
"BD056","Sadik Ahmed","A-","28","01207010285","Chittagong","true"
"BD057","Rima Majumder","O-","39","01372179776","Rajshahi","true"
"BD058","Tarik Hasan","O-","46","01710871896","Khulna","true"
"BD059","Nodi Uddin","B+","42","01102757876","Chittagong","true"
"BD060","Jubayer Sikder","A+","37","01865330257","Chittagong","true"
"BD061","Puja Bhuiyan","AB-","43","01042888434","Sylhet","true"
"BD062","Anik Parvez","A+","57","01797895316","Rangpur","true"
"BD063","Sathi Majumder","B-","42","01936598668","Khulna","true"
"BD064","Sajid Karmakar","O-","55","01259619772","Cumilla","true"
"BD065","Bithi Uddin","AB+","27","01652079488","Khulna","false"
"BD066","Rifat Ahmed","B+","55","01272579863","Mymensingh","false"
"BD067","Keya Bhuiyan","A-","23","01073625354","Barishal","true"
"BD068","Faysal Hasan","A+","56","01481818220","Rangpur","false"
"BD069","Anika Majumder","AB+","57","01402818674","Dhaka","true"
"BD070","Mamun Sikder","B-","58","01142200895","Barishal","true"
"BD071","Farhana Uddin","B+","51","01846565674","Sylhet","true"
"BD072","Sumon Parvez","O+","49","01262162009","Sylhet","true"
"BD073","Sohana Bhuiyan","A+","45","01151319249","Cumilla","true"
"BD074","Bashir Karmakar","A+","54","01485068688","Barishal","false"
"BD075","Nilufa Majumder","A-","51","01332695768","Mymensingh","true"
"BD076","Habib Ahmed","B+","35","01588325459","Dhaka","false"
"BD077","Rahima Uddin","O+","30","01713844478","Barishal","true"
"BD078","Rafiq Hasan","AB+","38","01923186219","Sylhet","true"
"BD079","Shapla Bhuiyan","A-","20","01752591395","Mymensingh","true"
"BD080","Jamal Sikder","O+","54","01329846270","Mymensingh","true"
"BD081","Julekha Majumder","B-","36","01116510269","Barishal","true"
"BD082","Sharif Parvez","B+","41","01810678819","Cumilla","true"
"BD083","Feroza Uddin","AB+","41","01941941033","Sylhet","true"
"BD084","Nazrul Karmakar","O+","27","01419670277","Rangpur","true"
"BD085","Asma Bhuiyan","B-","50","01051725719","Dhaka","true"
"BD086","Alamgir Ahmed","B-","31","01990362459","Cumilla","true"
"BD087","Runa Majumder","O-","42","01207525417","Rangpur","false"
"BD088","Romel Hasan","AB-","59","01207217350","Mymensingh","false"
"BD089","Bokul Uddin","B-","21","01095403101","Mymensingh","true"
"BD090","Shahin Sikder","A+","36","01005916226","Khulna","true"
"BD091","Lipi Bhuiyan","O+","51","01125619182","Khulna","false"
"BD092","Utpal Parvez","AB+","54","01415124337","Khulna","true"
"BD093","Prova Majumder","A-","42","01680954968","Mymensingh","true"
"BD094","Apurbo Karmakar","AB+","25","01142394453","Narayanganj","true"
"BD095","Shanta Uddin","B+","26","01564381868","Barishal","true"
"BD096","Noyon Ahmed","A-","51","01296758940","Barishal","false"
"BD097","Mukta Bhuiyan","A-","58","01207339439","Chittagong","true"
"BD098","Jahir Hasan","O+","56","01798782330","Cumilla","false"
"BD099","Dalia Majumder","AB+","28","01577724259","Rajshahi","false"
"BD100","Abdul Rahman Sikder","O-","57","01261528566","Narayanganj","true"
